"ESSAY";"ARGUMENT";"TEXT";"ANNOTATION"
"040";"2";"Secondly, students who take on a part time job are often more confident and independent than other ones. By constant communicating with other colleagues daily in a company environment where their new ideas can be raised without hesitation, then students' confidence could be significantly gained. Also, working conditions require students the independency in thinking, working, and solving problems, which is greatly helpful when the characteristic is applied to tackle subjects in their universities.";""
"040";"3";"Lastly, doing extra jobs helps student with money for their accommodation. Indeed, high studying tuition, added with raising accommodation expenses are becoming a huge burden to students. With the money they earn from extra jobs, which normally is not much, those difficulties could be partially solved. Moreover, that helps students from being reliant on their families as well as is a well-prepared condition for their independent later life.";""
"041";"1";"To begin with, students can learn invaluable experiences through the period of time working for the institutions they are assigned to. In most school curriculums, the courses are theoretical and often by instructors speaking to students sitting in the classroom. As a result, students might have little idea of the real challenges or the true situation when they enter the workforce after graduation. For this reason, the internship, although without pay, can give them the experiences that money cannot buy.";""
"041";"2";"As for the companies, the unpaid interns can no doubt save some money. In addition, the younger generations can help them generate new ideas as the students are not bound to restricted workload and they tend to have greater imagination, which can be essentially helpful when they are making a new advertisement or slogan. Moreover they can start looking for potential employees and begin the training. Therefore, companies save time and resources for searching new staffs and organizing an orientation.";""
"042";"1";"A raise or a promotion can no doubt increase the morale in the working places. Workers understand they have to work harder to meet the boss' expectations and to make themselves worthwhile. For instance, junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work due to the fact that it is an important phase for them to study hard and get into the high school they want. If the teachers receive higher salaries, they will be willing to spend more extra time mentoring the youngsters rather than hoping they learn in cram schools and so forth, as this is what is happening in Taiwan.";"Sufficiency"
"042";"2";"Nevertheless, I believe that creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances. Take Google for example, the company offers recreation rooms and extra personal leaves for their workers to develop a more relaxing and supportive workforce. By doing this, the employers can make sure the employees can actually focus and concentrate on their projects instead of thinking about their children or feeling pressured.";"Sufficiency"
"043";"1";"Firstly, during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event. For example, when Irak was hardly struck by the Second Gulf War, its citizens tried to catch any incoming news about the FootballWorld Cup through their portable receivers. This clearly shows that international sports competitions encourage people and put pressure on them to come back, sooner or later, to a relative peaceful normality. Thus, world sports events strongly participate in eventually pulling back people towards friendship and peace.";"Sufficiency"
"043";"2";"Secondly, these sporting occasions are a good opportunity for people to be proud of their country. For instance, when the Football World Cup was organised in South Africa, its citizens filled up the stadiums, cheered and waved national flags to support their national team on the field. South African national and traditional songs were played in the streets throughout the night. This example demonstrates how people might take numerous elements from their roots and history to proudly display them while supporting their team. As a result, it is clear that people can freely express their patriotic feelings during international sports events.";"Sufficiency"
"044";"1";"Firstly, the major source of energy today is water. Although there is a lot of water shortage to generate electricity many countries still rely only on this source. To generate such a vast energy the fundamental resources are falling short. Thus, during summer there will be a lot of power cut in the developing countries such as India. If the government encourage the use of nuclear, solar or wind energy there might not be any problem in distributing the required amount electricity. Therefore, it would be a good implication by the government to generate electricity from other available sources.";""
"044";"2";"Secondly, the sources most widely used currently to generate power releases extensive amount of gases into the atmosphere which increases global warming. For example, the use of a solar cooker instead of an electric cooker would certainly reduce the global warming. In the same way, the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution.";""
"045";"1";"Government money should be spent on publicly beneficial programs only. Tax revenue is collected from those who works. Spending them on helping those not make contribution to society would not sound fair to tax payers. Besides, there are other pressing demands on the government expenditure, such as health care service and education, so addressing unemployment should have low priority.";""
"045";"2";"Also, it is obvious that, to survive in this competitive world, one has to work hard and equip themselves well. If they could get free financial help from the government, they might end up with out any motivation to work at all.";""
"045";"3";"Of course, this does not mean we should leave alone those who do need assistance. They are already in reverse circumstances and it would be rather difficult for them to overcome the difficulties without external support. In this case, the government ought to set up free vocational trainings or to provide interest-free bank loans for them, so that they can have the chance to get back to work. After all, it is beneficial to the society as a whole when the jobless can make contribution again.";""
"046";"1";"A university, in common sense, is a medium for conveying or providing access to knowledge. What is meant by this is that students are the ones universities should really cater for, not the employers, as students are the ones here to seek knowledge. High school graduates choose to further educate themselves in universities because of all different reasons: a degree that's more widely accepted, gain knowledge and insight into an industry, or simply deepen their research interests in a certain field.";""
"046";"2";"On the other hand, universities are regarded as institutions where abundant educational resources gather. It is, therefore, not necessary for a certain course or type of training to be offered to the students by a university, but instead, these must be made available when needed. So the truth lies somewhere closer to the fact that a university should provide access to information, rather than offer selected courses that are suitable for employers' taste.";""
"047";"1";"To begin with, it is the right of wild species to live in a environment away from human beings. Given the fact that human beings are responsible for the heavy pollution and severe damage to the natural habitats of many wild animals, it is our responsibility to create a natural and safe environment for animals to live in. Apparently, the limited space and the artificial trees and lakes can not fully compensate the animals for their loss. Moreover, if rural animals are captured in the zoo for a long period, it would have negative influences on both the physical and psychological status of the creatures. As a result, the wild species would suffer from isolation and depression. It seems that zoos are more likely to be a killer rather than a protector in protecting wild lives.";""
"047";"2";"Nevertheless, supporters would argue that zoos, which are equipped with modern facilities and professionals, would provide better care for the animals inside. They further point out that the endangered species preserved in zoos would never die of illegal hunting. However, I would contend that the strict laws prohibiting poaching would provide a shelter for various kinds of animals in natural habitat. It seems that the growing number of natural habitat would be the ultimate solution of saving wild animals worldwide.";""
"048";"1";"To begin with, distance-learning brings significant convenience for students in every corner of the world. In earlier times, students who were tired of commuting had to attend schools nearby, regardless of any differences in teaching facilities, teacher's qualifications or the school reputation. Now, however, students are able to apply for online-courses provided by top-of-the-range universities and colleges worldwide. Furthermore, the presence of video conferencing allows a teacher to teach a greater number of students. Consequently, educational institutions are able to optimize costs by increasing teacher-student ratios. Thanks to the economical online-teaching, universities and colleges are able to offer grants for students who have outstanding academic achievements but are unable to attend schools because of financial constrains.";""
"048";"2";"Nevertheless, opponents of online-degrees would argue that attending lectures in person provides students an opportunity to communicate with teachers and other classmates. They further point out that traditional teaching approaches involving discussion and cooperation among students play a significant role in campus life. It is the real interactions and communications in class make education much more attractive.";""
"049";"1";"To begin with, mobile phones and other tools of modern communication facilitate not only contact with friends and relatives in faraway places but also global business. With the click of a button, the vast amount of information can be transmitted from America to China in just a few seconds. Furthermore, it is generally felt that the access to these tools of communication is available in every corner of the world. With a mobile phone or a laptop, a person can talk or send messages online at a bus stop, in a corner shop or anywhere they could imagine. Therefore, it seems that these new forms of communication do bring a great deal of convenience to humankind.";""
"049";"2";"Nevertheless, opponents of modern communications claim that only the more privileged are able to enjoy the benefits. They further point out that the wide spread use of these efficient and effective ways of communication costs a considerable amount of money. Anyone who aims to use these innovations have to not only pay for the appliances such as a mobile phone or a computer but also cover up costs for communication services. Consequently, people who live in poverty are less likely to be benefited from modern communication technologies.";""
"050";"1";"It is obvious that music has a great power which can positively influence on human being and its psychology. Therefore, many university authorities provide music lessons for their students so that they live and study in a harmony with music. I have an impression that students, who spend a great deal of their time studying different academic subjects should have an opportunity to cope with the stress gained during school time. In this case, music can be a useful and interesting solution. Moreover, if musical activity involves many participants, there will be co-operation and developed team work in the group, which is, of course, beneficial in their future life. In fact, students with a quite poor academic background can show themselves in the music. Consequently, the calm atmosphere in the class might be created.";""
"050";"2";"By contrast, it is clear that music can have many mentally enhancing effects on students. In our hectic life, however, demand is not for musically orientated students, but for academically developed employees. Hence, I agree with the majority, because music is the art which requires special attitude towards it. Increasingly however, students can not obtain supposed impacts, unless they get interested in it more seriously. Therefore, music and other entertaining subjects should be optional. Nowadays, time is the most valuable thing in life with increased pace. To my mind, students are to develop their professional skills by learning occupation-related subjects, rather than playing on guitar or singing a song.";""
"051";"1";"First, I think a library is vital and strategical part of a university. All professors and students need to have a modern and well-equipped library because, after internet, library plays an important role in research. Although sport is important, it does not have the same priority of library has. In addition only small part of students attend sport activities. For example, in my university number of students who use the library is much more than students do sports activities.";"Sufficiency"
"051";"2";"Second, usually libraries do not have income. Most libraries are free not for students also for public. Hence, universities support is vital for libraries. But sport activities have a good income because every sport has different matches and for each match they have a lot sponsors. Also, they have this chance to sell their important matches tickets. To conclude, there are good ways for sports activities to compensate their expenses, but it is very hard for libraries to find a good way for have an income.";""
"051";"3";"Last but not least, investing in libraries has a long-time result. For example, a library can buy a lot of new books or they can buy more computers. Most of the library facilities are stable and you can use them for a long time. Besides, in the far future, they become more valuable. On the other side, most sports facilities except buildings are usually can be used in short-time and they are not persistent for a long-time.";""
"052";"1";"Some people claim that the prevalent of English brings a great number of benefits for people. First of all, it promotes the communication and interaction between different countries more conveniently and clearly. In the ancient time, the different languages and geography set barriers for people to exchange their goods and ideas. Fortunately, the innovation of plane and train solved the geographical barriers. If we can popularize the use of English, the language hinder will disappear as well. In addition, English is a beautiful language, which is more systematical and extensive than many other languages. Learning English can foster people's sentiment and nourish their literature and art.";""
"052";"2";"However, the opponents believe that the dominated status of English has destroyed culture diversity and many less-used languages become extinct. Even English is a sophisticated language; it does not express every detail of life especially in Asia countries, which have totally different linguistic system. It is undeniable that language contains many aspects of people's daily life, which is influenced by culture, environment as well as religious. Obviously, these languages have special significance for people who belong to them and using English to replace them is crudity.";""
"053";"1";"Human being has driven many animals for their personal use such as, cows and other milch animals for yielding milk from them. Likewise, other animals such as, horses, cattles and donkeys for farming, agriculture and as a mode of transportation. Many people keep pets like dogs and cats, trained them as service dogs and snuffing dogs which are very helpful to police force and even to some blind peoples. They are kept for security purposes in houses.";""
"053";"2";"On the other hand, many farmers and owners exploit animals beyond their limits. For instance, cows are often injected by Oxytocin, a hormone which is used to forcibly increase lactation. This in turn, causes lots of discomfort and pain to the cattle. Furthermore, thousand of animals undergo painful suffering or death as a result of scientific research of drugs and various products. Another example of this is cage farming which is against animal rights. Many other practices like, equestrian sport where horses run miles and miles and beaten up by jockeys to make them run more faster. And above all pleasure hunting of defenseless animals.";""
"054";"1";"On the one hand, technology indeed simplifies people's life all the time. Obviously, people who watch exhibitions on TV or internet at home, save the time and money on the road, which is increasingly significant particularly to people in modern society. However, in accordance with recent research, experts suggest the lifestyle of individuals in modern society is unhealthy because they lack of physical exercise and face-to-face communication.";""
"054";"2";"On the other hand, the importance of museums and art galleries is plain in terms of education and culture. First of all, authentic exhibits cannot be completely displayed only by images and videos. It is like travelling to a place is much better than viewing the landscape of that place on TV or photos, so the best method to learn one thing is to experience it. Furthermore, museums and art galleries preserve some culture heritages; therefore, these buildings will not disappear unless people abandon their culture.";""
"055";"1";"The benefits of teaching students different units are easily recognized. In the first place, with some basic knowledge of diverse fields, students have more options in choosing specialized areas or jobs in the future. Teenagers are still too young and immature to decide what they are going to dedicate. In students' point of view, the combination of difficult and easy subjects balances their schoolwork stress and fosters their enthusiasm on classes. However, still many teenagers cannot enjoy the variation of the curriculum, instead, they feel more stressful with so much homework and exams to be done. Besides, most students regard the extra knowledge useless and impractical for their future jobs.";""
"055";"2";"Those who advocate focusing on one subject believe that this education model can cultivate more talents who specialized in different areas and increase studying effectiveness. This is probably because students can devote more time and efforts in one subject and reduce pressure from other subjects. However, the drawbacks of this teaching method cannot be neglected. Most importantly, under such target-oriented education environment, teenagers may be hard to regret their original choice and change their specialized field in their further study. Moreover, the dullness of course may deeply influence their passion on study.";""
"056";"1";"No one can deny the huge benefits of the trend that English is being accepted universally. To begin with, communication between countries and cultures become convenient. In my country, English is a required course from elementary school. Thus, studying abroad is easy and becomes hot among youngsters. For them, language obstacle is no longer a problem, which results in mutual understanding and trust between their mother land and the host country. This, in turn, enhances relationship and promotes international business. Furthermore, researchers, especially those who work on high-tech, would have wider range of references if they are good at English. Taking IT industry for an example, top technical science is published in English. It's neither to get a translated version of these articles, nor to always have a translator besides. As a result, they have no choice but choosing English as a second language.";"Sufficiency"
"056";"2";"Admittedly, opponents may blame that English is making lesser-known languages disappear ever year. Hence, the culture heritage and nation identity vanish. However, this is really short-sighted, ignoring the rapid development of native economy and society.";""
"057";"1";"Time and again, creative artists like Michaelangelo, Picasso, Salman Rushdie, Shakespeare etc. have made artistic works which gave a social message. Right from sculptures to paintings, books to drama and movies, all these artistic works have reflected the contemporary social issues of different eras. Creative works help to create social awareness by giving a social message.";"Sufficiency"
"057";"2";"Nonetheless, innovative works makes people realize things in a peaceful way and peep into their own conscience. It helps to raise issues and criticize the wrong doings of the governments. For instance, Bangladeshi writer Taslima Nasrin was accused of acting against the government, just because she raised a social issue. This type of approach is a hurdle in promoting creative minds. In addition, creativity also gives aesthetic charm.";"Sufficiency"
"057";"3";"Unfortunately, many governments restrict the artists. Frank Zappa once said, ""Mind is like a parachute, it doesn't work if its not open"". Restrictions would just curb the innovative ideas of the artists and would limit their brains. Like the media, artists should also be given the freedom to express their ideas freely.";""
"058";"1";"Co-operation is essential for teamwork. Educational systems emphasize on encouraging co-operative approach in children. We live in a social setup and mutual help and sharing only leads to success. A person can not learn or achieve everything by oneself. For instance, lions hunt in a team. It is only due to their teamwork that they are able to catch a prey and make task easy. In the same way, co-operative approach will save time, energy and will have a higher success rate.";"Sufficiency"
"058";"2";"Nevertheless, co-operation helps to understand other's perspective and learn by their mistakes. It helps to identify one's strengths and weaknesses as compared to others. A co-operative approach can create inspirational and motivational feeling seeing other people's achievements. However, competition is also as important as co-operation.";""
"058";"3";"Unfortunately, the meaning of competiton has been modified in a wrong direction. An individual must compete with oneself only, instead of trying to beat others. Competition has helped the development of science and technology. Competition helps in improvement and evolution. For example, every other day, new cars are developed by companies which are more efficient than others. This kind of competition gives customers more options.";"Sufficiency"
"058";"4";"However, blind and selfish competition is detrimental. 'Your loss, my gain' kind of competition can never be fruitful in the long run. Competition should be always based on self-improvement rule. A healthy competition which involves raising one's own level above others is the best approach.";""
"059";"1";"Capital punishment is given only in the ""rarest of the rare"" cases. Its first and foremost objective is safety of other human beings. When a criminal becomes a threat to the society, such that they can commit heinous crimes, then they are given capital punishment. Thus, capital punishment protects the society from hardcore criminals.";""
"059";"2";"Moreover, capital punishment curbs the inspiration and prospects of other hateful crimes. When a criminal mind knows the quantum of punishment, they will fear and not commit such crimes. Thus, the rate of crime and violence is effectively decreased.";""
"059";"3";"Importantly, capital punishment saves a lot of government funding which is wasted in maintenance of these hardcore criminals. Criminals who don't have any chance of improvement or who have a past record of such crimes are, therefore, given capital punishment.";""
"059";"4";"However, the jury giving the verdict are also humans. They have the life of a person at their discretion. They can make mistakes which can sometimes affect an innocent, circumstantially marred criminals. The jury must therefore, take into account the circumstances of committing a crime. For example, if an individual murders someone for self-defense, then such a crime is not heinous. Only deserving criminals, who commit such hateful crimes in their proper senses are subjected to capital punishment.";""
"060";"1";"In most education systems, a child studies continuously from the age of 5 till 16 years of age. A relaxation of one year to young minds will give them a quintessential change. A continuous study pressure for over 10 years makes the mind saturated and like a robot, to follow instructions. Personally, a break will give students some time to refresh their systems, by traveling or following their hobbies. Importantly, when students start their university studies after a break, they will feel fresh and full of energy to take the new challenge.";""
"060";"2";"Nevertheless, during high school, many students face a dilemma to decide which stream should they major in. Working or traveling for some time, after high school, can help them to find their field of interest. It will also help them to learn professional setup by working. Financially, students can save a little money to support their university education by doing a job. Some students even utilize this time for preparation of their desired university course.";""
"060";"3";"However, there are also disadvantages. A break can disturb the focus of students and prove detrimental. When students work during these breaks, the feel of money gives them an illusion that such salary is enough for them and they go in a utopia. For instance, my cousin started working in a customer care centre after high school and got distracted. When he started his university studies, he failed miserably. Students can also indulge in smoking or drinking during this time. But, the break should be an optional thing. It varies from individual to individual, how they utilize that period. A break gives students more benefits than harms.";"Sufficiency"
"061";"1";"In the modern world, computers are used everywhere. Right from flying planes to sending a small document, computers are needed. They are used in space programs, wars, hospitals, schools and so on. Computers have made human life more easy, convenient and lightning fast. For example, in earlier days, if one had to send a message to someone in other country, it used to take months. But today, it can be sent in few minutes by typing a email and few clicks. Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it.";""
"061";"2";"Moreover, future prospects of computers are very bright. From a computer as big as a room, it has now been minimized to the size of a palm. Nanotechnology is working to make computers to the order of microscopic levels. Research on making computerized drone soldiers (unmanned computer controlled) is going on. There is no end to the evolution of computers.";""
"061";"3";"However, everything has pros and cons. Computers have made humans over-dependent. Virus programs, privacy breach, leak of confidential documents, cyber attacks, identity theft, frauds etc. are some of its demerits, from a countless list. Computers expose children to vulgar materials. They have even invaded mental health of humans, for example, FAD (Facebook Addiction Disorder - excessive use of social networking website Facebook). Computers have intruded our lives to the effect that a satellite can peep into our homes and privates lives. The recent case of Wikileaks, leaking confidential data is an example of how computers are harmful.";""
"062";"1";"Right to education is a basic human right of both, males and females. The whole world aims for women empowerment, and to achieve this, females should be given equal opportunities as males. When universities will accept them in equal number, both genders will be able to nurture their talent and a healthy competitive environment will develop.";""
"062";"2";"Co-education helps both genders to gel well with each other. It helps them how to behave and cooperate and work together. For example, students studying in boy's colleges do not generally know how to talk to a female or behave in front of them. On the other hand, females studying in girl's colleges are too shy to face boys. Co-education will help to eradicate this kind of demerit in both. Universities giving both genders equal opportunities, will prepare them for future challenges and will help in the long run.";""
"062";"3";"Unfortunately, some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc. This kind of gender biased approach is detrimental for the development of the society. Time and again, women have proved their mettle in every field. Women like Margaret Thatcher, Indira Gandhi, Mari Curie etc., are symbols of women's intelligence and skills.";""
"063";"1";"The first and foremost reason is that with the development of science and technology, more advanced kitchen facilities, such as the modern microwaves or the advanced pressure cookers, have been created and invented to help people prepare and cook food in a very short time. As a result, people nowadays just spend one hour to prepare a meal instead of two, even three hours like in the last 10 years. Actually, in recent years, there was a significant increase in the number of people from all walks of life realizing this valuable benefit of those technologies in doing their housework. And this figure still continuously go up along with the improvement of science and technology. Thus, it is certain that spending less time on cooking will be the main trend in near future.";""
"063";"2";"Another reason is that most of young people prefer to have meals at restaurants because they want to invest more time in their work or study to improve themselves. According to a recent survey, 89% of people have come to think that, since they have been put in the situation which is filled with competitions and pressures, they have to use a lot of time to work hard, to update themselves, to acquire all kinds of skills and so on. Thus, they find hard to have time to prepare and cook a meal. Even they have some spare time, they prefer to go out with friends to relax and relieve the pressure from work and study.";""
"063";"3";"Some people may argue that investing much time in cooking food will guarantee nutrition as well as quality of food for their family. To some extent, it is true. However, as a matter of fact, using technology or advanced facilities do not make food lose its nutrition and quality. Even, with the help of ozone machines, bacterias, mold spores, or pesticide in vegetables, fruits and foods will be killed and removed, thus health and life of eaters is assured. Besides, along with the high living standard, requirements of quality products in almost restaurants, nowadays, are under severe control and supervision by appropriate authorities. Consequently, it is quite easy to have a nutritious meal with guaranteed quality, but do not waste a lot of time.";""
"064";"1";"It is true that modern games may be, to some extent, beneficial for children to foster some skills, such as computer skills or the capacity to keep up with the latest trend. This is because children have to be proficient at computers and the Internet if they want to join online games, which, in fact, helps children acquire a particularly powerful skill at work in future. At the same time, children have the chance to experience the state-of-the-art technology, raising their awareness of innovation rather than stay conservative.";""
"064";"2";"However, I think traditional games are still indispensible in children's learning process, even much more essential than modern games, especially in modern society. One primary merit of traditional games is that they foster children's communication skills. Unlike most modern games which focus on the interactions between children and machines, traditional games provide a relaxing and enjoyable atmosphere where children can chat, laugh and cooperate face to face. As a result, communicating with a variety of people will not be an issue for these children any more.";""
"064";"3";"Furthermore, it is the educational functions traditional games hold that keep them alive today. In fact, these traditional games were elaborately devised by educators and have been proven effective in improving children's skills on different aspects in previous teaching practices. By contrast, modern games are developed by game companies for the purpose of profits. Therefore, there is a risk that children may be exposed to unhealthy contents, such as violence or pornography, arranged in the games by such companies to secure financial survival.";""
"065";"1";"Taking care of thousands of citizens who suffer from disease or illiteracy is more urgent and pragmatic than building theaters or sports stadiums. As a matter of fact, an uneducated person may barely appreciate musicals, whereas a physical damaged person, resulting from the lack of medical treatment, may no longer participate in any sports games. Therefore, providing education and medical care is more essential and prioritized to the government.";""
"065";"2";"Entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented. Their existences are based on their marketing strategies, the condition of facilities and the volume of audience. The competition among each of these facilities is an inevitable part of the free market, which should not be interfered by government. Instead, the establishment of medical facilities or educational institutes is aimed to improve the health or education standard rather than earning profits, which deserves more funds from government.";""
"065";"3";"Furthermore, putting taxpayers' money on building theaters or sports stadiums is unfair to those who cannot use them. For example, not everyone is a fan of watching musicals on the spot. Therefore, it is a bit inappropriate to use the majority of citizens' tax funds to meet a minority of people's needs. That is the reason why sectors such as medical care and education deserve more governmental support, because they are accessed by every individual in our society on a daily basis.";"Sufficiency"
"066";"1";"In terms of time and space, technology makes it more efficient and effective to promote the traditional skills and ways of life. In the past, only when people went to the local place could they experience the specific traditional lifestyles. This means individuals who were engaged in work and therefore could not spare time to travel or restricted by traffic conditions had to miss the chance to appreciate the traditional skills. However, with the access to the Internet, one of the greatest innovations in modern society, humankind can acquire the traditional techniques displayed online anytime, anywhere.";""
"066";"2";"Additionally, technology enriches the way of displaying traditional cultural heritage, making it more vivid and appealing. For example, China has successfully promoted traditional techniques in the Shanghai World Expo, using a variety of state-of-the-art technological methods, such as robots and LED screens. In fact, many tourists around the world marveled at the perfect synthesis of the modern technology and the traditional culture.";"Sufficiency"
"066";"3";"On the other hand, some people are concerned that technology may have a detrimental effect on the traditional lifestyles. They argue that people, especially youngsters, are crazier about fresh and advanced things, such as digital products, thus becoming indifferent to traditional techniques. But I believe this is not the issue because people tend to follow the trend back to the tradition in the recent years.";""
