ESSAY	ARGUMENT	TEXT	ANNOTATION
5	3	Also , employers are mostly looking for people who have international and language skills . Becoming successful in this study will give the student an edge in job market . Therefore , one who has studied and lived overseas will become more eligible for the job than his / her peers . 	
6	1	First of all , students who study outside their countries can get a lot of experience living in a foreign country . Living in a new country requires a great amount of flexibility and adaptability in one ' s character . For example , students might face many challenges in the host country . Therefore , they should be able to deal with the obstacles that they may encounter . Overcoming problems teaches the students how to be more mature and self-independence . 	
6	2	One other important factor is the new academic experience that the students can obtain at the institution where they are pursuing their studies . For example , they will get exposed to a different educational system . They will meet new professors and new classmates which makes the academic experience different from that in their home country . 	
6	3	Most important is the cultural aspect of the experience . While living in a foreign country , students can learn a lot about the culture of that country . Furthermore , they can meet different people of the country . They can learn about their way of thinking , their customs and traditions , and way of life . Learning about others ' cultures is so important . It contributes in building a new understanding in us of how we see the world . It makes us more open , and willing to accept different ideas and thoughts . Also it educates us about the world we are living in . 	
7	1	First of all , to obtain information , using the internet is quicker and more convenient than reading newspapers . Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime . As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages . Hence , the print media has failed to keep its important role in the provision of information . 	
7	2	Another point is that , from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one . It is clear to recognize that the internet service is being provided at a low cost or even free in many countries . The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? The answer , perhaps , is that hardly would rational people do so . For this reason , the number of people reading newspapers may continue falling sharply , possibly leading to the close-downs of many in the coming time . 	
7	3	Last , but not least , when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down . This is simply the contributor to the deforestation which is happening all over the world today . At this point , newspapers ' production will have to face environmentalists on its way to be alive . 	
8	1	Concerning that elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society , government should guarantee that all people have equal and convenient access to it . So a lack of well-established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development . In other words , if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education . 	
8	2	That ' s not enough , for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance . The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community . Some may argue that universities can support themselve well by donation or invention , but this argument is invalid . Researches into humanities and art still need large amount of money , what ' s more , government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide . 	
9	1	Consideration is always important in relationship . For example , roommate turns down the music or television volume at night time . Sometimes we will not know what we have done until we have a taste of our own medicine . At all times , think about the other ' s feeling before doing any self-centered action would help to improve the roommate relationship tremendously . Therefore , having a considered roommate is significantly imperative to our school life . It will not only prevent conflicts but also to have a friend or even a family member . 	insufficient
9	2	Moreover , communication is as well making a good roommate . People have different habit in daily life , such as tidy the blanket in the morning . One might think this is a piece of cake while other would consider it as immense project . If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk . Therefore , communication is very important as it would clear up the misinterpretation . Through communication , bonded are build and we could have better understanding of each others . 	
10	1	First and foremost , carbon emission cut is significantly essential for protecting the atmosphere . The fact is that the more cars and motorbikes are on roads , the more seriously the ozone layer is damaged . If governments use more money to improve roads , there is a strong likelihood that more people drive their private cars work . This is sure to lead to more carbon emitted into the atmosphere , which can cause skin cancer and destroy the natural environment . Whereas , if there are more good buses , trains , or subways , people are inclined to use less private vehicles , which decreases the amount of carbon released . Obviously , the policy that concentrates money on developing public transportation brings an advantageous impact on earth . 	
10	2	In addition , the policy would play a pivotal part in relieving traffic jam . It is quiet clear that traffic congestion is a serious problem in many big cities . The main reason for this issue is that there are a great number of vehicles flowing on roads . In order to tackle the problem , governments have to turn people ' attention on public vehicles to reduce cars and motorbikes . There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion . 	
11	1	"First of all , the ancient Latin proverb says : "" Anima sana in corpore sano "" , which means that healthy body is basis for healthy soul . There is a direct linkage between people ' s health and the frequency of doing physical exercises . The more we practice , the better we feel . Additionally , there is a fact that one can improve health conditions with everyday physical activity : gradually , step by step we change physical condition to better . So , if the entire nation , from their school ages begin going for sports and try doing that everyday , eventually it may help to build healthy nation . "	
11	2	Besides , when we practice outdoors and indoors sports , many aspects are getting clearer . For example , when a person goes jogging everyday , eventually he can understand his own body through direct observation . Alike , the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically . Furthermore , almost all natural science discoveries were made by direct observation , which is a part of physical education . 	insufficient
11	3	Last , but not least , financial sustainability of a region mostly depends on how healthy the population is . For instance , the money invested into physical education program can save allocations into healthcare , since the nation is comparatively healthy . Along with that , physically healthy people can contribute more both into economical and social development . As a matter of fact , the better a person feels , the better his brain works . Therefore , putting physical activities in early steps of human development would finally lead to mentally healthy society . As hence it ends up with financially competitive country . 	
12	1	First and foremost , email can be count as one of the most beneficial results of modern technology . Many years ago , peoples had to pay a great deal of money to post their letters , and their payements were related to the weight of their letters or boxes , and many accidents may cause problem that the post could not be delivered . But nowadays , all people can take advantage of internet to have their own email free , and send their emails to everyone in no time , besides they can be sure if their emails have been delivered or not . 	
12	2	Another important aspect on technology is transferring money . Today , students can apply for foreign universities much easier than before . Not only with the help of sending email , but also using credit cards to pay all necessary fees online . Therefore , with the advent of internet and online paying systems , you can do many thing at your home easily . 	insufficient
12	3	Another technological innovations which help people around the world is related to medical equipments . Biomedical engineers could make a significant effect on increasing life expectancy the world . For example , one of their inventions was related to artificial heart valves which can be count as a turning point in heart surgeries . In the past time doctors used pig heart ' s valve to implant , but the patient could not be alive more than 3 years after the replacement . But now , biomedical engineers can make artificial heart valves which works well and doctors can implant them easily . 	insufficient
13	1	First , technology inspires children to create new things . Children are curious about everything around them , so when they come across a high-tech product like a cellphone , they will be obsessed with its mysterious functions and eager to know how it works . For example , Bill Gates was attracted by the original huge computer , then he did everything he could to understand how it worked . After he had figured out all the stuff , he then began to promote the computer . In the end , he successfully invented a computer that was easy to use and lightweight . Therefore , instead of interfering children ' s creativity , technology actually encourages children to learn and to create . 	insufficient
13	2	Second , technology widen children ' s knowledge . In the past , children were only able to see things from one perspective . However , with highly advanced technology , children are able to get information from foreign countries and even communicate with foreign friends . Therefore , they will be able to learn about different cultures and different ways of thinking . Knowledge is the base of creativity . The diverse knowledge that children gained from different parts of the world , inspires children and encourage them to create new things . 	
14	1	Many people find that students at schools and universities still learn much more from lessons with teachers . They argue that teachers teach students how to write , read and calculate since they are in kindergarten . And when they are in primary school , teachers teach them more further knowledge , like writing skills and using computers . It is teachers that help them with obstacles in schooling . On the other hand , students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers . 	
14	2	Those who feel that students learn far more from other sources , such as the Internet and television , firmly believe that within this sources students learn lots of things which they can ' t learn in classes . They can only input some key words and google it , and then there are numberless articles and websites related to it . In this case , students learn things easily . Moreover , they contend that good television programs do teach students . For instance , Discovery Channel has many instructive episodes . Students have knowledge of others cultures , outer space etc . 	insufficient
15	1	First of all , it is easy to point out many benefits users can get from email and text messaging , which answers to the question of their great popularity . Before email and mobile phone , human beings communicated by meeting directly , sending letters or later , calling from home phones . Such ways usually made people have troubles for the expensiveness , difficulties in far communication or emergency and the loss of information . However , email and cell phones have improved the obstacles above . People can send or receive electronic letters anywhere and anytime they want . Especially , thanks to the function provided by email and text messaging ( SMS ) , it is cheaper and faster to transfer a lot of information , even to many people at the same time . They are so convenient that the majority of population prefer to use them instead of some traditional ways . 	
15	2	The popularity of email and text messaging , as a result , leads to the losing of written language ' s position . People tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities . The outcome is that language in writing is not in its original form . Even in some cases , people compose a message with only emoticons ( the expressions by face created by service providers ) , which means there is no room for writing or typing texts . Moreover , it is more dangerous that youngsters sometimes use such new languages in their studying , writing assignments . If that tendency continues at a rapid pace , written language may face up to a real problem about its stand . 	
16	1	First of all , as we all know , animals are friendly and vital for people , because if there are no animals in the world , the balance of nature will broke down , and we , human , will die out as well . The animal experiments accelerate the vanishing of some categories of animals . In other words , doing this various testing is a hazard of human ' s future and next generation . 	
16	2	"Though animal experiments have negative impact on the natural balance , it is necessary to make sure that people can live a long life . To begin with , it is indisputable that every new kind food or pill may be noxious , and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying . The new foods or medicines are invented to promote the quantity of human ' s life . Thus even if they are volunteers ; they cannot take the place of animals to test the new foods or medicines . Furthermore , it also have potentially harm for human ' s health without any testing . "	
17	1	In spite of enjoying watching television shows , it is really time consuming task . Emergence of new television channels or shows are not surprising . We kill time by tracking these channels so at the end of the day we understand it is late for doing any other activities . This is a problem that suffers all of us everyday . At the end , there is no time for call to our parents or friends . 	
17	2	Second , I think watching television programs makes us lazy . We usually spend our times in front of television for at least three ours a day when we come back home after eight-hour working in the office . Hence , we do not have time to spend for healthy activity such as going to a gym or doing other sports . This makes us a lazy person who prefers to do sedentary activities like watching television shows rather than be active and sociable . 	
17	3	Last but not least , some television programs have a negative effect on viewers . Some thriller or action movies advertise negative activities such as doing criminal activity . These genre of programs has more negative effects on our teenagers . They usually try to mimic what they see on movies in their daily behaviors . 	
18	1	Universities should accept equal numbers of students of both genders . Initially , if we look into the fact , women have proved themselves in every field whether it is indoor or outdoor . For example , nowadays women are working in home as well as in the sky . They are acting as a good housewife and they are flying planes also . Furthermore , university authority must not be biased on ground of the gender discrimination . They must consider the academic record of the student as main criteria of admission . 	
18	2	However , the current job market affects the decision of universities . Every university designs its courses according to the need of employers . The job selection criteria are pre decided . For instance employers need male candidates for the heavy work such as repairing and installation of heavy machine . They prefer male staff for night shifts . They want female candidates for soft natured work like counseling , teaching , designing etc . Therefore , universities follow the requirement of job providers and decide subject suitable for particular gender . 	
19	1	Living in their own houses will save the young adults a lot of money . If they live separate from their parents they will have to pay for a loan , electricity , water or even for a meal . If the young adults still study they will have to combine studying with working , because they will not have money to pay for everything . There will not be such worries when young adults live in their own home , because parents will take care for them . Moreover , parents will give their children money in order they to focus only on studying . 	
19	2	Another problem that the young adults may encounter is to find a co-tenant , who they do not like . His habits may be totally different from theirs , his behavior may be inappropriate , but they will have to live with him or even share a room , in order to have less expenses . Living with such a person may be a huge problem for the young adults . When the co-tenant do not share their interests and points of view , they will not be able to ask him for advice . Furthermore , they are most likely to quarrel every day , instead of to help each other . 	
20	1	First , in most industrialized countries , there is a number of companies that holds heavy factories in their constitutions . The waste products and harmful gases produced by these factories cause a significant amount of air pollution . While these companies make a huge amount of money from their businesses , most of them are not considering to take precautions to reduce the amount of air pollution . If these companies were obliged to pay to clean up the air pollution , they would at least make an effort to reduce the amount of air pollution they cause . 	
20	2	Second , private individuals cause air pollution in several ways such as inessential use of cars and house heating . As house heating is a major need in the winter time , some households do not consider to use filters to reduce the amount of pollution that the heating causes . Instead of this , some expensive vehicles cause a huge amount of pollution . In my opinion , by charging private individuals for causing air pollution , that will at least contribute to reduce the amount of the pollution . 	
20	3	On the other hand , I believe that governments should restrict the use of products that cause air pollution for both individuals and companies . Governments also should use an amount of money from their budgets to clean up the air , instead of putting all the responsibility to companies and private individuals . 	
21	1	We are mainly introduced to products through advertisements . Therefore , advertisers push the limits of creativity to dispose the consumers to purchase the product . When the consumers are impressed by the way a product is advertised , they can be convinced to consider that the product is a need in some cases . Recently , there is a very creative advertisements of a soft drink product on TV . The story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot . As a result of this , the number of that product being sold will increases . 	insufficient
21	2	Also , the more an advertisement of a product takes place in mass media , the more popular the product becomes . Advertisement is the most effective way to create a well-known product . Consumers tend to purchase the most known product when it comes to picking one out of two different brands of the same product . When a product is commonly used , it becomes trustworthy for the society , no matter what quality it is . However , it also has to be affordable for the consumer . Considering this fact , advertisements have undeniable affects on the society about the product being advertised . They make the product preferable . 	
22	1	To begin with , those who advocate the impracticability of university have several reasons . From their point of view , the fact is that there are numerous job opportunities for those who do not have the certification of university graduation , such as mechanics , sales persons , or engineers , and , furthermore , labors for graduates are in short supply . What is worse , the labor market for highly educated students is now too competitive to get a job after finishing their studying . In this regard it is a loss of national productivity that young people spend much time on searching for high salary jobs , even can be a sheer time-consuming . 	
22	2	However , on the other side of the coin are voices in the opposition , saying that universities provide not only skills for careers , but also academic knowledge for the human race , such as bio science , politics , and medicine . These academic values are necessary to the progress of the world . More importantly , many researches in the ivory-tower have created ingenious discoveries and achievements for the development of modern society . Another significant factor of universities is that diverse experiences in the campus life can make the young generation more competently because there are a number of chances through internships , deeper discussion , independent life , and exchange scholarships . 	
23	1	First of all , almost everything that changed our lifestyle a lot will also cause some social problems . Mobile phones are not out of expectation . Speaking loudly on the phone in public areas , such as schools , libraries and hospitals appears to be very impolite and offensive . What is worse , some students utilize their cell phones as an effective cheating tools in examinations in which they can send and receive answers by texting each other . Nevertheless , it is not impossible to solve these problems , as long as some regulations and rules can be effectively implemented . 	
23	2	It is also worth mentioning that some harmful effects on our health are lethal . It has been proved that overusing of the electronic devices including mobile phones could lead to higher possibility of suffering hearing loss and even cancers , although the further investigation are needed . 	
23	3	Another debatable problem is about techniques . There is panic among people that their conversation can be intercepted by the third party . This possibility exists all the time . But a more efficient and reliable system can also be invented to guarantee the private information of users . 	
23	4	Moreover , the mobile phone has become a dispensable multifunctional tools in people ' s daily life . Not only used for communication , but it also functions as an Internet browser , a music player , a personal organizer and so forth . 	
24	1	First , using computer constantly has bad influence on children ' s eyes . When they concentrate on computer for too long , their eyes will get tired , which is the main reason for some eyes problems , typically shortsighted . 	
24	2	Moreover , children who play games too much on computer can seriously lack communicating skills , they will know little about the outside life . It is a well-known fact that people who are addicted to games , especially online games , can eventually bear dangerous consequences . For instance , several teenagers play games without rest , which leads to health depression , a typical example is the death of Korean gamer , who had a non-stop playing for 3 days . 	insufficient
24	3	Finally , even people who are not interested in online game can still be negatively affected by using computer too much . Some social surveys have shown that a few children use computer for studying purpose , most of them are attracted by facebook , blog , etc . instead . Due to this neglect , they will have a bad result in school because when they can not live without internet , they will have no time for their studying . 	
25	1	First of all , a large factory can stimulate local economic growth and reduce the unemployment rate . To manufacture goods , there must be the demand of laborers , from which the local residents can benefit . What is more , the factory is not isolated , other industries and business will be quickly established , resulting in economic growth of local area . For example , the estate industry will be boosted in order to satisfy the workers ' accommodation need . 	
25	2	The main disadvantage is contamination . It is true that some area are suffering the dire consequences caused by overdeveloping the industry , such as water pollution , overcrowded traffic and medical problems . For instance , in some industrial cities , a large proportion of the workers are suffering various breathing problems , such as asthma which can be caused by waste ashes and certain chemical substances . 	insufficient
25	3	However , it is inevitable that there will be more factories built with the development of our society . Therefore , how to improve the disadvantages of building a factory would be more important than whether to build it . In fact most problems can be avoidable if the factories put in real and great effort to manage their waste well . 	
26	1	First of all , to make their food easier to prepare and taste delicious , almost every producer adds a wide range of artificial ingredients in to the food that is now purchased by most people . Some ingredients being added have caused dire consequences . For instance , there are usually some articles in newspapers and magazines which report the relationship between certain chemical components in some food and diseases . Thus , easy-to-cook foods sometimes could be dangerous for human ' s health . 	insufficient
26	2	Not cooking fresh food will also lead to the lack of nutrition . It is true that cooking prepared food needs much less time in comparison with the fresh food . Whereas some research has apparently demonstrated that prepared food is unable to support enough nutrients we need , especially for children who are growing up . 	
26	3	In addition , cooking is one of arts humans create . The more prepared food we eat the more cooking skills we lose . At the increasing living pace , the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes . But rare people have been aware that this has contributed to a modification of cooking habits , which may cause the loss of our custom and culture about cooking . 	
27	1	Firstly , education is an essential part in development . For instance , most developing countries are lack of educational resources , such as experienced teachers , evaluation systems and teaching facilities , which is usually neglected by local authorities . From this example , it is obvious that if the developed countries are unwilling to share their successful experience in education , the developing countries will remain undeveloped , even though they gain a great deal of economic support . Thus , the critical method to improve the condition of poor countries is to help them build up a complete educational system instead of financial aid . 	
27	2	In addition , it is well acknowledged that there is no free lunch in the world . This means some powerful countries provide financial support in order to acquire the right to exploit the local resources and target the local labour market . Indeed , they rarely provide local residents with any technological aid and even cause contamination in some areas . Therefore , developing countries should not totally depend on the financial support from powerful countries . 	
28	1	First of all , I do support the idea that advertising alcohol , cigarettes , goods and services with adult content should be prohibited because these kind of ads will have negative effect to our children . Youngsters might be tempted to buy cigarettes or alcohol and later to start consume it on a daily basis . Fortunately , some countries take this issue seriously and advertising alcohol , cigarettes and materials with adult content is banned on those countries . 	
28	2	On the other hand by advertising companies , businesses , firms and individuals promote their goods and services . Thanks to ads we learn about new products , we can compare them and choose what ‰Ûª s the best for us . 	
28	3	These days , not only many businesses , but also governments have to rely on advertising . For example , tourism makes up one-third of the Czech Republic ' s economy . In order to promote the country ' s attractions , the Czech government has to advertise and sell its services to foreign consumers . Only well planned and well targeted advertising will bring more foreign tourists to the country . 	insufficient
29	1	Firstly , extra income that women earn will contribute to their family ' s expenses . By taking up a job , a wife can earn more money to support her family life . This is really necessary in cases of her husband ' s low salary and the difficulty of getting a good job at the present . So , it is a normal practice for women to be helpmates in earning money . 	
29	2	Secondly , working outside the house creates opportunities for married women to contact with the outer world , strengthen their character and show their capacity . These things in turn will make them more confident , independent . These women will set a good example for their children . Therefore , it is no doubt that they play roles as a mother and as a wife better . 	
29	3	Last but not least , nowadays , there are many supporting conditions that help women balance housework and work . Besides the gorvernment ' s policies on limited families and their husbands ' sharing in the housework , many employers are willing to offer part-time jobs for women . 	
30	1	Some parents might not have enough money to pay for their children university fees . In the other hand , I don ' t think it is also fair for the government as the government has been paying a lot of money for their students ' primary and secondary education . It is better for them to use the money to pay for the other students ' education so that all people in their country could receive the same education . 	
30	2	Moreover , students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not afford to pay it . They will be more responsible with their studies when they pay the fees themselves . In addition to that , the students will become more independent and it will build their characters in the marketplace as well . 	
30	3	Furthermore , this will encourage all the parents to think of the way to help their children to achieve more in their lives as they need to make some contribution too for their children future . 	
31	1	Firstly , an increase in the number of automobiles brings about environmental pollution . Since automobile exhaust and carbon dioxides emission have bad impacts on the air , the air gets to be polluted and it causes respiratory disease of the local inhabitants . Therefore , it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles . 	
31	2	Secondly , an increase in the number of automobiles causes terrible traffic congestion . Once we get into the traffic jam , it forces us to waste our time for a while . What is worse , traffic congestion irritates drivers and as a result , it leads to an increase of traffic accidents . Thus , the methods to reduce the number of automobiles and to control car ownership and use should be immediately planned and implemented . 	
31	3	In order to solve these problems , alternative forms of transportation and international laws to control automobiles ownership and use can work effectively . With regard to the former , alternative forms which emit less carbon dioxides and gasses than automobiles are ideal . For example , rental bicycle system has been introduced in several European countries . This system is that at the corner of each district , the rental bicycles are placed and the people can ride it to the other districts with a small fee . Since bicycle expels neither carbon dioxides nor harmful gasses , it is a better form to protect environment than automobile . As for the latter point , the introduction of international laws can be also effective . For instance , there are some regulations to limit the use of automobiles by time and to allow the people possess one car only . Thus , these attempts to reduce automobiles can ease traffic congestion and environmental pollution . 	insufficient
32	1	First of all , poor counties suffer from shortage of basic materials and facilities to start businesses and make it richer . To be out of poverty , it is fundamental to support basic industry related factors such as light , electricity , load , highways , natural resources , technology and buildings for companies . Aiding help poor countries in this situation solve their economical problems and run their own business . In actual , republic of Korea used to be the poorest country even compared to others in Africa in 1960 ' s . Now that it has became strong economy country aiding poor countries after 10 years of aid from other counties . 	insufficient
32	2	Secondly , aiding campaign gives a chance to considerate about poor people . If people in rich countries ponder poor people suffering from poverty and diseases , they would never take their abundance for granted . It not only raises the notice the meaning of harmony and love , but also be a good chance to learn humane doctrine of globalization . 	
32	3	Third , the campaigns might include practical benefits . In globalized world , the economies of several countries are in a big network and must influence on each others . When America mortgage loan system went bad , several economies of European and Asian countries fluctuated , even any countries had to be gotten international supports to block its bankrupt . 	insufficient
33	1	Some people prefer to recognize globalization as a threat to ethnic and religious values of people of their country . They think that the idea of globalization put their inherited culture in danger of uncontrolled change and make them vulnerable against the attack of imperialistic governments . 	
33	2	Those who disagree , believe that globalization contribute effectively to the global improvement of the world in many aspects . Developing globalization , people can have more access to many natural resources of the world and it leads to increasing the pace of scientific and economic promotions of the entire world . In addition , they admit that globalization can be considered a chance for people of each country to promote their lifestyle through the stuffs and services imported from other countries . 	
33	3	Moreover , the proponents of globalization idea point out globalization results in considerable decrease in global tension due to convergence of benefits of people of the world which is a natural consequence of globalization . 	
34	1	First of all , schools offer to students a good environment with experienced professors and high quality programs for studying . It creates the best conditions for students education and can force them to focus on their school work instead of wasting their time to do useless things . Second of all , schools provide lots of academic knowledge to students . Students may learn professional skills , expand their understandings and gain experiences . Therefore , they have more opprotunities to find a job and to be successful in the future . For example , as we know , employer always prefer to hire an employee of high degree who have professional skills . 	
34	2	Nevertheless , it is not unreasonable that some people think that children should interrupt their school work and get a job . Whether children can learn a lot at school , there are many subjects that will be of little value to them in the future . Furthermore , children can learn social skills when they have a job . They can get more experiences that can not be obtained at school . Working helps children be more independent and teach them to esteem and manage the money that they ' ve earned . 	
35	1	To boost their sales and win over customers , companies pour a great amount of money into advertising . Most of the time , it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product . By which I mean , huge cooperation hire celebrities as the face of their product . By casting famous singers in their television advertisement , motorcycles or clothes for example , sales increase significantly since youngsters , as the target consumers , love celebrities . Since having these products shows their status , the quality obviously is not relatively important . 	
35	2	However , despite the fact that advertisements can be falseful and exaggerated , it is also true that it plays and important role economically . They introduce new products , and provide various choices , not to mention they are often visually enjoyable , since they aim to grab your attention . Advertising also helps to keep prices at reasonable levels , creates a fair environment for commercial competition . Otherwise the market may be monopolistic , and the price as well as the choice will not be so selective . 	
